abnormal,비정상의
ethical,윤리적인
fantasy,환상
furry,털이 많은
historical,역사적인
injustice,불공정
jury,배심원
manufacture,제조하다
monitor,"모니터, 감시자"
occupy,"차지하다, 점령하다"
pause,"중단핟, 잠시 멈추다"
precious,귀중한
purchase,구입하다
resist,저항하다
seal,"봉인, 도장"
stride,성큼성큼 걷다
symbolize,상징하다
track,"자취, 흔적"
vacuum,진공청소기로 청소하다. 진공
weight,"~만큼 무게가 나가다, 체중"
accord,"일치하다, 조화"
alley,"오솔길, 뒷골목"
associate,"관련시키다, 연관시키다"
bent,구부러진
carpenter,목수
collapse,"무너지다, 붕괴하다"
consideration,고려
cue,단서
desert,사막
dissolve,용해하다
ecosystem,생태계
ethnic,민족의
faraway,먼
homesick,향수별의
insert,삽입하다
justice,"정의, 공정"
mass,"덩어리, 다량"
mop,대걸레
occur,"발생하다, 일어나다"
pay,지불하다
prediction,"예언, 예보"
pursue,"추구하다, 쫒다"
resistance,저항
seek,찾다
specialty,"전문, 특제품"
stripp,벗기다
sympathy,동정
trade,"무역, 교환"
vaild,"유효한, 효과적인"
welfare,복지
acccordance,"일치, 조화"
assume,"가정하다, 추정하다"
beverage,"음료, 마실것"
offspring,자손
perhaps,"아마, 어쩌면"
preferable,"더 나은, 바람직한"
racial,인종의
resolve,"결심하다, 결정하다"
sensitive,"예민한, 민감한"
speculate,"시샛하다, 깊이 생각하다"
stroll,한가로이 거닐다
tablecloth,식탁보
transact,사무를 집행하다
valuable,가치 있는
wetland,습지대
accountant,회계사
astronomer,천문학자
bind,묶다
carriage,마차
colleague,동료
consumer,소비자
cunning,"교활한, 영리한"
desirable,바람직한
distance,거리
edit,"편집하다, 조작하다"
evaporate,증발하다
farewell,작별
fuse,"웅합하다, 결합하다"
houseold,가정
insist,"고집하다, 우기다"
kindergarten,유치원
mature,성숙한
mostly,주로
cast,던지다
collision,충돌
consumption,소비자
curiosity,호기심
desperate,필사적인
distinguish,구분 짓다
editorial,"사설, 논설, 편집의"
eventually,결국
farming,농업
futurologist,매래학자
humanity,인류
insistent,"고집하는, 주장하는"
knight,기사
maximum,최대의
motto,좌우명
operation,작동
period,시기
prejudice,"편견, 편견을 갖게 하다"
ranch,대목장
respectful,경의를 표하는
separation,분리
sphere,구
struggle,버둥거리다
taboo,"금기, 터부"
translation,"번역, 번역된"
vapor,증기
whisker,구레나릇
amuse,즐겁게 하다
atmosphere,대기
biography,"전기, 일대기"
category,범주
combine,결합
contrary,반대로
current,"현재의, 통용하는"
despite,~에도 불구하고
distribute,분배하다
educate,교육시키다
examine,검사하다
fascinate,황홀하게 하다
galaxy,"은하(수), 소우주"
humankind,인류
inspire,영감을 주다
lava,용암
maze,"미로, 미궁"
muddy,진흙의
opinion,의견
permit,허락하다
preparation,"준비, 대비"
rare,"드문, 진기한, 희귀한"
response,응답
settle,해결하다
spine,척추
stubborn,"고집 센, 불굴의"
talkative,수다스러운
transport,"수송하다, 나르다"
whisper,속삭이다
accurate,정확한
analog,아날로그의
atom,"원자, 극소량"
biology,생물학
cattle,소
comfort,"위로, 위안"
contribution,"기부, 기여, 공헌"
curriculum,교육 과정
destruction,파괴
district,지역
educational,교육적인
excel,"능가하다, 우수하다"
fearful,"무서운, 두려운"
gap,"차이, 틈"
humor,유머
install,설치하다
laver,놋대야
meantime,그동안
multiply,"증가시키다, 곱하다, 곱해지다, 늘어나다"
optimism,낙관주의
pessimistic,비관적인
preschool,유치원
react,반응하다
responsibility,책임
sharp,날카로운
spiritual,정신적인
stuff,물건
tasteful,풍취 있는
treatment,대우
various,다양한
widespread,널리 퍼진
accustom,익숙하게 하다
analyze,분석하다
attachment,"붙이기, 부착, 애착"
blast,"폭발시키다, 폭파하다"
causal,인과 관계의
comment,"논평하다, 논평"
convenience,편의
detail,"세부 사항, 상세히 알리다"
distrust,불신하다
election,선거
exception,예외
feather,깃털
gauze,얇은 천
hydrogen,수소
instance,"보기, 사례"
lawn,잔디밭
mechanic,정비사
murder,살인
option,"선택, 옵션"
petroleum,석유
pretend,~인 체하다
reasonable,합리적인
restful,편안한
shelter,피난처
splash,튀기다
subjecctive,주관적인
tease,"괴롭히다, 놀리다"
tremble,"떨리다, 떨다"
vary,다르다
willing,기꺼이 ~하는
achieve,"성취하다, 이루다"
animation,만화영화
attendant,참석자
bleach,"표백하다, 표벡제"
celebration,축하
commercial,"상업상의, 상업적인"
damage,"피해, 피해를 입히다"
determination,결십
disturb,방해하다
elective,선택할 수 있는
exclaim,"외치다, 고함을 지르다"
fee,보수
gene,유전자
identify,확인하다
instinct,본능
lay,"놓다, 눕히다"
mediate,중재하다
conventional,"전통적인, 관습적인"
